,info,name
20,"林俊杰（Lin Junjie, Wayne ，1981年3月27日－）新加坡华人流行音乐歌手、作曲人、作词人、音乐制作人，祖籍金门。

林俊杰从2003年开始在中国大陆走红，2004年凭《江南》一曲走红两岸三地。林俊杰有不少音乐作品，以作曲为主，少数几首是词曲一起创作，多数作品都是林俊杰为该歌手专门量身订作。林俊杰的作品包括张惠妹《记得》、王心凌《当你》、Twins《我很想爱他》等。部份歌手也因林俊杰曾替他们写歌，而和林俊杰成为多年好友。

林俊杰在2006年客串演出偶像剧《花样少年少女》。2008年担任男主角演出偶像剧《原来我不帅》。2008年成立林俊杰个人音乐公司JFJ Productions。


",林俊杰
21,"Rhian Sheehan是一个屡获殊荣的新西兰作曲家和制作人，建立电影音乐以独特的融合实验电子乐与管弦乐和环境录音。主要影视音乐创作，他还发布了5张专辑。他的首张专辑“Paradigm Shift’” （LOOP录音）被视为新西兰电子乐的一个里程碑，他在2009年和2011年的专辑“Standing in Silence”和“Seven Tales of The North Wind”都被许多人视为经典的后摇滚的环境风格流派。

他的作品曾出现在许多国际CD合辑，最引人注目的白金销量CAFE DEL MAR系列全集，Lazy Sunday & Zen CD合辑。希恩还写了音乐，经常上英国BBC电视节目，包括BBC地平线和顶级装备，以及探索频道和国家地理频道。他的音乐也被广泛使用在NBC的黄金时段报道2012年伦敦奥运会。在各种电视广告，电影预告片和短片，他的音乐也有所耳闻。他还写了电影配乐荣获艾美奖的Reservoir Hill系列。",Rhian Sheehan
22,暂无歌手信息,Elle Vee
23,"范晓萱出生于台北，母亲DD于十七岁时生下她，她两岁时父母离异，父方因其不是男生而未争取其监护权，由母亲扶养长大。三岁开始学习钢琴，七岁进入光仁小学音乐班，九岁开始学习长笛，接下来国高中都就读于台北县私立光仁高级中学音乐班。在十二岁那一年，首次创作了班上的毕业歌曲，也创作了“自言自语”这首歌的歌曲部分。在十四岁时，并将此曲填了词，完成了她之后广为人知的第一首创作。同年，参与了第一支广告“橘色司迪麦”的演出，其后陆续开始拍摄一些广告及 MV ，过程中结识了恩师李亚明，成为他的旗下艺人。 1994 年第一次参与电影拍摄，与张学友、周海媚一起在“非常侦探”中演出。在福茂唱片发行了第一张个人专辑《Rain》主打歌 <深呼吸>和<Rain>令人留下清新印象。

在与福茂唱片合作的五年当中，从一开始以清新的音乐少女学生歌手形象发行专辑外，她也发行了小魔女系列卡通主题歌专辑，而成为家喻户晓，小朋友们最喜欢的歌手。几首主打歌之例如与杨峻荣一起唱的〈健康歌〉可说是人人都能“左三圈，右三圈，脖子扭扭屁股扭扭”的哼上几句，加上翻唱知名日本卡通《樱桃小丸子》、《小叮当》、《豆豆龙》等主题曲，更使她的受欢迎程度达到颠峰。除了小魔女专辑之外，她也发行了几张非常畅销的流行歌曲专辑，其中主打歌曲如〈你的甜蜜〉、〈雪人〉，也都极受欢迎，唱出时下90年代少女恋爱的抒情。

其后随着年纪渐增，范晓萱努力尝试转型，由于出身于专业的音乐教育背景，她试图从走可爱路线的少女歌手，重回实力派歌手路线，也慢慢加入具有个人特质的自我创作在专辑里，然而在她坚持“追求自我”的转型路上，一开始便遇到了许多矛盾与难题，儿童取向听众的流失，她曾一度消失在萤光幕前，但她仍坚持作自己爱的音乐，于是从“绝世名伶”到“福禄寿”及“还有别的办法吗”这三张专辑皆是与不同的唱片公司合作。

几年下来，在以上几张专辑的磨练下，音乐风格渐渐成熟，也组了所爱的乐团，范晓萱渐渐踏上专辑制作人的道路，也结束了与福茂唱片公司的合作，走出一片天地，近年以乐团和驻唱表演为主，近日颇受欢迎的作品有范晓萱& 100%乐团合作的新专辑《赤子》，范晓萱以一头灿烂的金色短发重回萤光幕前。",范晓萱
24,暂无歌手信息,AniFace
25,"﻿曹格（1979年7月9日－），马来西亚一位华语流行与创作歌手。祖籍广东，出生于马来西亚沙巴州的古打毛律（Kota Belud）。首张专辑以《Superwoman》与《世界唯一的你》受到华语歌坛瞩目，其高亢的嗓音与华丽的唱腔，在华语歌坛独树一格。2008年以专辑《Super Sunshine》获得金曲奖“最佳男歌手”。

曹格1岁时父母离婚。他的父亲是律师。9岁就被送往加拿大读书，15岁负笈新西兰奥克兰大学攻读土木工程，曾经回来马来西亚，但后因学业跟不上，于是回到新西兰继续读书。因长期在异乡生活，那些生活丰富了他的音乐才华。在华语音乐、卡达山民族音乐、毛利人及欧美音乐文化等不断冲击下，曹格成功将这些民族音乐融入其创作中，打造专属曹格风格的音乐创作。

他最早的创作是在他17岁时写成的。他在早期也有些创作被一些歌手采用，例如香港乐坛四大天王之一郭富城的首张EP《Ask For More》就收录了他的三首创作。

1999年，即他20岁那年，参加了Astro新秀大赛，虽然落选，但仍获得好评。

2001年，推出首张专辑《笑我笨》。发行《笑我笨》这张专辑后，曹格终于在22岁那年于新加坡遇上著名音乐制作人凃惠元这位伯乐，让他有机会远赴台湾发展及学习，然而台湾的生活及机遇并非全然一帆风顺，5年内让他体会不少生活中甜酸苦辣。

2001年，在马来西亚发行《Gary》同名专辑。3年后签约滚石唱片。

2006年1月26日，滚石唱片发行《格格Blue》专辑后，曹格开始受到众多乐迷支持。因此，曹格以被称为“贵族忧郁王子”的形象重返乐坛。

2007年5月4日，第18届金曲奖入围名单公布，曹格凭着专辑《Superman》而获提名最佳男歌手奖。

曹格在谈及他的创作过程时，只是说了很简单的一句话：“因为自己想唱到好听的歌曲，所以开始创作。”

2007年7月开始，曹格于香港居住，并推出第一首广东歌《海边的卡夫卡》，并于同年推出第二首广东歌《左右无缘》。

2008年1月推出最新国语专辑《Super Sunshine》。同年7月5日，曹格凭着专辑《Super Sunshine》荣获第19届金曲奖最佳华语男歌手奖，成为首位获得此奖项的大马歌手。

2010年5月宣布转投bma。",曹格
26,"手嶌葵(Aoi Teshima) 　　中文又写做手岛葵或手茑葵 　　

兼为歌手和声优，现住福冈，1987年6月21日出生，有着模特身高，兴趣是芭蕾和读书。 喜欢的电影有『绿野仙踪』『秘密花园』『小公子』以及吉卜力的『红猪』等。 　　

新人手嶌葵，在出任女主角Therru声优的同时，她悠远清澈的天籁之音打动了导演宫崎吾朗，被钦点担纲演唱影片的主题曲和插曲，被赞为""有着朴素,治愈系的歌声的她,是地海传奇中女神般的存在""。这位拥有无比透明声音的音乐少女，关于CM演出表示“最初想谢绝，但是因为与《格得战记》的映像是一起制作，所以重新考虑后同意，

",手嶌葵
27,"
            日本を代表するテクノ・マエストロ、石野卓球（vo&programing）とピエール瀧（vo&dance）が89年に前身バンドである「人生」の解散と同時に結成したのが電気グルーヴだ。『662 BPM BY DG』(90年)の発表とともにCMJKが加入し、91年にTMNとのカップリング（！）によるシングル「RHYTHM RED BEAT BLACK」でメジャー・デビュー。同年4月にイギリス、マンチェスターにてレコーディングされた『FLASH PAPA』は、当時、まだ未成熟だった日本のテクノ・シーンに大きな風穴を開けた。
    ",電気グルーヴ
28,"陈奕迅（英文名：Eason Chan，1974年7月27日出生），是香港著名的男歌手及演员。他不仅是香港乐坛近年少数的实力派歌手，也是继许冠杰到张学友之后，另一位“歌神”。

陈奕迅在《叱咤乐坛流行榜颁奖典礼》中曾六次夺得“叱咤乐坛男歌手金奖”(2001、2002、2005-2007、2009年度)和连续五次夺得“叱咤乐坛我最喜爱的男歌手”(2005-2009年度)等大奖。在2006、2007年度《十大劲歌金曲颁奖典礼》中连续两届夺得“最受欢迎男歌星”，并于2007、2008年度《十大劲歌金曲颁奖典礼》连续两届夺得“亚太区最受欢迎香港男歌星”。其中在2007年度的《十大劲歌金曲颁奖典礼》中同时夺得“最受欢迎男歌星”和“亚太区最受欢迎香港男歌星”，是继刘德华之后，第二位于同年度获得这两个大奖的男歌手，奠定其在香港乐坛地位。 此外，他于2000、2001、2002、2005及2007年度夺“四台联颁音乐大奖 ─传媒大奖”，五度成为香港四大电子传媒音乐颁奖典礼大赢家。

另外，陈奕迅亦在香港演艺人协会当选为第八届及第九届（2007年12月12日－2011年12月11日）理事会的副会长。

在香港乐坛以外的成就，陈奕迅凭专辑《Special Thanks To...》于2002年度获颁台湾金曲奖“最佳国语男演唱人”，成为了续张学友后夺得这个大奖的第二位非台湾的男歌手，更是第一位香港歌手夺得台湾金曲奖“年度国语专辑”。2009年陈奕迅再次于此颁奖礼凭专辑《不想放手》夺得“年度国语专辑”。

在华语乐坛以外的成就，陈奕迅凭其专辑《认了吧》中的单曲〈好久不见〉获得国际性颁奖礼 - “MTV日本音乐录像带赏2008”中“亚洲最佳歌手”奖项的提名。

陈奕迅的音乐成就更得到亚洲以外的地区认同，陈奕迅被《时代杂志》形容为影响香港乐坛风格的人物。其专辑《U87》更被《时代杂志》评为2005年亚洲五张最值得购买的专辑[5]。

陈奕迅在影坛方面亦取得佳绩, 在美涛・领衔2009 腾讯网星光大典中凭电影《金钱帝国》取得港台年度电影男演员荣誉。",陈奕迅
29,暂无歌手信息,Michael Ray
30,暂无歌手信息,朱雪琴
31,暂无歌手信息,Neuter Lover
32,"Miguel Jontel Pimentel, who performs under the mononym Miguel, is an American recording artist, songwriter and producer. Signed to Jive Records in 2007, Miguel released his debut album, All I Want Is You, in November 2010. Although it was underpromoted and performed poorly upon its release, the album became a sleeper hit and helped Miguel garner commercial standing. After Jive's dissolution in 2011, he moved to RCA Records and released his second album Kaleidoscope Dream in 2012 to critical acclaim.",Miguel
33,暂无歌手信息,小清水亜美
34,"Pajaro Sunrise是由Pepe López 、Yuri Méndez两人组成的组合，06年5月组队，这是他们发行的第一张同名专辑。从专辑封面上看到的一个人、一辆车，累了睡、醒了走的生活状态，就知道这是一张拥有遐意轻松生活表情的专辑，歌如封面。 　　

整张专辑里混合着INDIE、JAZZ、FOLK等音乐风格，特别是在JAZZ方面，似乎不单包括了《Wild days》中西班牙音乐里常见的BOSSA NOVA，还有些早期的SWING JAZZ的成份在，例如《California lover》的那段钢琴SOLO。其他的都以轻松自然的FOLK与ROCK为主，很可爱随性的一张音乐作品 　　

一张绝对适合旅行陪伴的专辑，同样来自西班牙，同样的BOSSA NOVA，同样的简单清新派。虽然Pajaro Sunrise名不见经传到找不到官网，myspace上也什么信息都没有，除了粗粗找到的不超过十句的英文介绍外，其他的全部有看没懂（不知道是不是西班牙文），但这些一点也没妨碍我对于这张专辑好听程度的认可。 ",Pajaro Sunrise
35,暂无歌手信息,Max Morath
36,"
            水谷广实，爱知县名古屋市出生的作曲家、编曲家，师从音乐家高梨康治，主要从事于动画、游戏相关的音乐制作工作。（摘自网易云音乐）
    ",水谷広実
37,暂无歌手信息,이푸름
38,暂无歌手信息,tobyMac
39,暂无歌手信息,Coco Montoya
40,暂无歌手信息,孙萌
41,"
",In Love With A Ghost
42,暂无歌手信息,姜文
43,暂无歌手信息,The Get Up Kids
44,暂无歌手信息,Sayuw
45,"
            新人新歌：Tove Styrke 出生于瑞典，是名年轻的歌手和模特， 她于2009年参加了 Idol 2009，取得了第三的成绩。 Tove Styrke 还为 “Glamour, Aftonbladet, Frida och Cosmopolitan”等著名杂志拍摄平面相片。 这是她的第一张专辑，也是她的同名专辑：“Tove Styrke”。 曲风轻快，充满青春活力！ 主打歌“Beating On a Better Drum”更是热力四射，并充满了对生活的热情和对爱情的期望。
    ",Tove Styrke
46,"
            Why Don't We，欧美新生男团 ，2016年9月27日成立(美国时间)。由来自美国各州的五个多才多艺男孩组成，他们分别是:Corbyn Besson科比·贝松、Jonah Marais乔纳·玛拉、Jack Avery、Zach Herron、Daniel Seavey。
    ",Why Don't We
47,暂无歌手信息,狐の工作室
48,"
            布勒（Blur）是一支1989年成立于科尔切斯特（Colchester）的英国另类摇滚乐团。成员分别是：Damon Albarn（主唱兼吉他手）、Graham Coxon（吉他手）、Dave Rowntree（鼓手）与Alex James（贝斯手）。

",Blur
49,暂无歌手信息,luvbird
50,暂无歌手信息,詹昊晁
51,"
            Nyte is an EDM producer from Ontario, Canada. Mainly producing Liquid DnB and Chill Out, Nyte has recently begun to experiment with Progressive House, and Electro House.
    ",Nyte
52,暂无歌手信息,黄海华
53,暂无歌手信息,Eva
54,"
            吉森 信（よしもり まこと ）は広島県出身の男性ピアニスト、鍵盤楽器プレイヤー、作曲家。大阪教育大学卒業。
    ",吉森信
55,暂无歌手信息,hakaisu
56,暂无歌手信息,Mandy
57,暂无歌手信息,Shy Sharity
58,暂无歌手信息,Riley Green
59,"
            Edward ""Ed"" Sheeran，1991年2月17日出生于西约克郡，是大西洋唱片旗下的一位歌手同时也是一位创作人。2011年6月，他的首只单曲在The A Team空降英国单曲榜第三名。
    ",Ed Sheeran
60,暂无歌手信息,Audrey Hepburn
61,"莫文蔚（原名为Karen Joy Morris，艺名为Karen Mok，1970年6月2日-），是一名香港歌手和演员。有威尔士、德国和波斯血统。自1990年代后期起在两岸三地有很高的人气。她于香港拔萃女书院以三 A (英语、法语及家政) 的会考成绩中五毕业后，便到意大利的United World College of the Adriatic就读高中，随后到英国伦敦大学主修意大利语和意大利文学。

在音乐领域，莫文蔚习惯破纪录：她是赢得台湾金曲奖的首位香港女艺人，也成为领衔百老汇热门音乐剧《吉屋出租Rent》10周年全球巡演的首位亚洲明星。另外，莫文蔚还发行了多张唱片，目前已发行了12张。在2008年的专辑《拉活…莫文蔚》中，她还首次担任音乐监制。至今一共入围金曲奖最佳国语女演唱人奖高达5次,并在入围第3次时，以2002年专辑《（i）》 一举得下第14届最佳国语女演唱人奖。至今一共入围金曲奖最佳国语专辑奖3次,在入围第2次时,以2007年专辑《拉活…》首次担任音乐监制,一举得下第 19届最佳国语专辑奖。在2009年《回蔚》专辑中首次独立制作,入围第21届金曲奖最佳国语专辑奖。

作为在国际上享有盛誉并获奖的女演员，莫文蔚出演了近40部影片。其中包括香港影史最卖座影片《食神》、她获得香港电影金像奖“最佳女配角”的《堕落天使》和与成龙合作、迪士尼公司的《80天环球地球》。她参演的著名影片还有李连杰的《黑侠》、周星驰的《食神》以及元奎的动作电影《夕阳天使》。莫文蔚最近还主演了Ekachai Uekrongtham导演的英文惊悚片《棺材》，此片更高据泰国票房第一位。

独特个性、百变形象、飘逸长发和标志性纤细修长的美腿令她成为亚洲最受欢迎的广告明星之一，她也是亚洲首位发行个人香水和内衣系列的艺人。虽然工作日程相当忙碌，她总能找到时间参加各类慈善活动，尤其是与儿童福利和动物权益有关的活动。目前她是联合国儿童基金会、防止虐待动物协会和亚洲动物基金的大使。

莫文蔚在北京奥运会开、闭幕式文艺表演上有演出。但开幕式的表演并没有在直播中播出。

",莫文蔚
62,"
            Universal旗下艺人池田绫子，五藏大学声乐科毕业的她是学院派歌手，23岁出道时因为嗓音条件以及创作实力被唱片公司誉为“大型实力新人。”而她也的确担负的起这个名称。她擅长的抒情曲风，充满女性特有的细腻，因此也有很多人称她为治愈系歌手。 
    ",池田綾子
63,暂无歌手信息,Silk City
64,暂无歌手信息,park bird
65,"
            Anton Zaslavski，1989年9月23日生，被人们更熟知其艺名Zedd，是一名电音舞曲制作人和DJ。他主要制作的音乐类型是Electro House，但也受到 Progressive House, Complexro 和 Dubstep的影响。
    ",Zedd
66,"
            SiA,全名Sia Kate Isobelle Furler.生长在澳大利亚.父母均从事音乐工作,""I only owned 2 CDs: a Jackson 5 anthology and Jeff Buckley's Grace.""SiA在真正从事音乐之前,她听的音乐真的很少很少.因为在和Zero 7一起巡回演出之后,SiA才非常认真的去听各种不同的音乐作品. 　　
2004年1月12日在英国,Sia创作完成并发行了自己的第一张音乐专辑""Color the small one"".专辑中最为成功的作品有3首""Sunday"" ""Breath Me"" ""Don't Bring Me Down"". 
    ",Sia
67,"諌山実生1980年6月7日出生于东京，3岁的她在就自己家中想要碰钢琴玩，父母看到后便送她去音乐教室学习音乐。不照曲谱而自由的在键盘上弹奏的她，对音乐抱有极大的兴趣。渐渐养成了被称为“声音从耳朵传给手指”练习方法，并以此练出了出众用耳朵对音乐的感觉。中学生的时候开始对作曲感兴趣，高中时代，以一次在志愿者活动中演唱自己所作的歌曲为契机，开始了真正的作词、作曲。之后便经常在老人院和幼儿院之类的地方演唱。一边在短期大学中就读，一边在饮食店里助唱打工。正是从那时的边弹边唱开始，最后终于飞到了这个音乐世界。2002年8月以单曲《恋花火》出道。 
",諫山実生
68,"X JAPAN是日本的五人男子摇滚乐团，是日本视觉系摇滚的始祖，音乐作品销量超过两千一百万张。他们出道后将日本的视觉系音乐发扬光大。1982年创始于日本千叶县馆山市，原名“X”；1992年改名为“X JAPAN”，主要成员为Yoshiki（团长，兼任鼓手、钢琴手、制作人）、Toshi（主唱）、Hide（吉他手，已故）、Pata（吉他手）、Taiji（贝斯手，1992年退出）、Heath（贝斯手，1992年加入）、Sugizo（吉他手、小提琴手，2009年加入）。乐迷通常以“X”称呼他们，并以“WE ARE X”自称或作为精神口号。



当年在日本民风保守造成摇滚乐风气低迷，尤其以华丽摇滚最受到鄙视和排斥。但“X JAPAN”奋力争取曝光机会、用尽心血创作音乐。他们的作品揉合了摇滚乐与古典乐的精髓，曲风千变万化、舞台演出充满感情与震撼，最后终于红遍全国上下，成为国宝级乐团，连当时的日本首相“小泉纯一郎”也是他们的歌迷。



“X JAPAN”虽然身为一支正统的重金属摇滚乐团，但他们透过音乐传达出的讯息却有别于一般乐团的批判或愤世忌俗。他们的曲风大致上可分为抒情疗伤以及狂热摇滚两大路线，唱着抒情曲的X，总是以如诗画一般美丽动人的旋律与歌词抚慰人心，听过的人无不为之动容；而演唱着激烈快歌的X也能够以正面的态度、领导者的姿态激励着人们的斗志与勇气。这样的风格和往常给人黑暗印象的摇滚乐团有相当大的不同，X所到之处总是使人感受到阳光与温暖的魅力，也因此能够大受欢迎。



他们是日本史上第一个以独立制作专辑打进主流唱片排行榜的摇滚乐团、日本地下音乐界独立摇滚专辑的销售纪录保持者、第一个正式专辑销售破百万张的重金属摇滚乐团、第一个参加NHK红白歌唱大赛的重金属摇滚乐团、第一个连续三天在东京巨蛋举行演唱会的艺人。他们被公认为日本视觉系乐团的始祖与代表，创造出90年代日本的视觉系狂潮，带给音乐后辈们深远的影响。



1997年虽因主唱脱退而解散，但令人难以相信的是，“X JAPAN”在解散整整十年后却人气不墬，乐曲继续传唱全球各地，影响力及歌迷的数量甚至不减反增，堪称亚洲史上最富传奇色彩的摇滚天团。2007年“X JAPAN”宣布复出。2008年3月间于日本东京巨蛋举办连续三天的复活演唱会，共约十五万人次到场支持，五百多名海外记者采访，引起各界瞩目。



",X JAPAN
69,暂无歌手信息,Boys Age
70,暂无歌手信息,Morgan Wallen
71,"许志安（英语：Andy Hui，1967年8月12日－），籍贯广东番禺，生于香港，为香港著名实力派歌手及演员。

许志安在家中9兄弟姊妹，排行最小。少年时与家人住在黄大仙屋村。因当时住所地区治安不靖，罪恶常常发生，所以许志安在年少时就立志希望能当一位能除暴安良的好警察。中学时期就读中七的时候，还未毕业便参加1986年新秀歌唱大赛得到亚军（同年黎明得季军）继而入行。

在新秀后，许志安签约华星唱片，但是华星只为他安排作一些餐厅酒廊的演出。这段时期许志安曾被醉酒食客粗言相对，其中一次他私下接下于一间品流复杂的夜店演出，期间该夜店被人放蛇捣乱。许志安后来得到新秀歌唱大赛大师姐（即80年代著名冠军）梅艳芳赏识，为歌曲《将冰山劈开》合唱，被公众认识。  

许志安在1988年5月5日推出首张个人大碟，但卖况平平，更曾一度被华星威胁解除合约。他在1990年发行的第四只大碟亦是他人生中最后一只黑胶唱片(LP)，销售量比第一只大碟为高，故其后公司亦开始为他推出其他唱片。其后的歌曲《翻腾》亦有好成绩，亦是许志安本人说“鲤鱼翻身”之作。于1996年，一曲唱尽男人心声的《男人最痛》成为香港全年热爆歌曲之一，使人气一度急升。

在《男人最痛》后，许志安得到称为“金牌经理人”的黄柏高赏识签约正东唱片及金牌娱乐经理人公司，至2003年改签M8 Music经理人公司。许志安在2001年度《十大劲歌金曲颁奖典礼》中夺得“最受欢迎男歌星”；在《叱吒乐坛流行榜颁奖典礼》三次(1999、2000、2003年度)夺得“叱吒乐坛男歌手金奖”和一次(2002年度)夺得“叱吒乐坛我最喜爱的男歌手”。 　　

在2005年离开正东唱片，加盟东亚唱片(集团)及经理人公司东亚娱乐成为其旗下歌手及艺人。东亚娱乐着手协助许志安歌影视三线发展，也包括了举办演唱会，其合约有效期直至2008年12月16日。

许志安多年来为社会贡献良多，曾以个人名义捐出善款为国内贵州山区贫童重建学校，不久被雁心会提名以人名来命名新学校的名称“许志安雁心希望小学”(首位香港艺人获雁心会命名)。终在2005年被选为香港杰出青年，不久成立慈善基金会为有需要帮助的人士提供义务帮助



",许志安
